observed,date,fitted
0,1654560000000.0,0.077656
0,1655251200000.0,0.077153
0,1655596800000.0,0.076846
0,1655942400000.0,0.076504
0.089602,1656288000000.0,0.121025
0,1656633600000.0,0.1202227657856985
0,1656979200000.0,0.1193176334529484
0,1657324800000.0,0.1183141636673172
0.082095,1657670400000.0,0.091078
0,1658016000000.0,0.090897
0.085203,1658361600000.0,0.088882
0,1658707200000.0,0.088976
0.085587,1659052800000.0,0.090574
0,1659398400000.0,0.091436
0.081545,1659744000000.0,0.072888
0,1660089600000.0,0.069706
0,1660435200000.0,0.066608
0,1660780800000.0,0.063608
0.079153,1661126400000.0,0.075968
0,1661472000000.0,0.074735
0.074395,1661817600000.0,0.073584
0,1662163200000.0,0.072426
0.069802,1662508800000.0,0.053408
0,1662854400000.0,0.052169
0,1685750400000.0,0.090959
0.085147,1686096000000.0,0.086306
0,1686441600000.0,0.08499
0,1686787200000.0,0.083592
0,1687132800000.0,0.082117
0.085697,1687478400000.0,0.08339
0,1687824000000.0,0.082012
0.079097,1688169600000.0,0.079915
0,1688515200000.0,0.078392
0,1688860800000.0,0.076828
0,1689206400000.0,0.075231
0.07511,1689552000000.0,0.074174
0,1689897600000.0,0.072507
0.077668,1690243200000.0,0.071512
0,1690588800000.0,0.069311
0.07907,1690934400000.0,0.047304
0,1691280000000.0,0.039726
0.074505,1691625600000.0,0.08698
0,1691971200000.0,0.088202
0.06851,1692316800000.0,0.07712
0,1692662400000.0,0.076583
0.071975,1693008000000.0,0.076408
0,1693353600000.0,0.075714
0,1693699200000.0,0.07501
0,1694044800000.0,0.0743
0.066943,1694390400000.0,0.040031
