point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
0,0.006908992425102262,0.008849444216725467,0.0068041581426405975,0.02256259478446833
1,0.01270636577307359,0.015443772627782711,0.00830100959119442,0.03645114799205072
2,0.0336603776991833,0.036276601055271564,0.020029372238334262,0.08996635099278913
3,0.0014627538783945871,0.0044620565320476315,0.0037060620157607434,0.009630872426202962
4,0.013766734970169139,0.014178823297450684,0.010827874367516987,0.038773432635136815
5,0.031921220047858315,0.028415130118014085,0.01864926116974345,0.07898561133561585
6,0.0292978095876926,0.028210702012771826,0.011365171201137886,0.06887368280160232
7,0.1372172002354149,0.15613596041022534,0.04845123389461734,0.3418043945402576
8,0.11182439032092385,0.1767027520103209,0.05239917526235405,0.3409263175935988
9,0.12519570813898195,0.1532029843602292,0.05101575516905696,0.3294144476682681
10,0.15186857477702453,0.2564458222285841,0.08882029097141936,0.497134687977028
11,0.027367170017791202,0.025170988848925366,0.008997745713361163,0.06153590458007773
12,0.06766280060367011,0.06268383666597188,0.014790408896715623,0.14513704616635761
13,0.006198291732987291,0.006689853934029593,0.003596615618693618,0.016484761285710504
14,0.038059693517590344,0.26865487551080497,0.06613654456663674,0.3728511135950321
15,0.3578593469228469,0.4697423982540979,0.10898482020559039,0.9365865653825353
total,0.11411615984784662,0.1669086390777591,0.045602597736821654,0.32662739666242735
