point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
0,0.008801433064846346,0.0152134901617852,0.013302911523931808,0.037317834750563356
1,0.013059387738372744,0.015967975617015698,0.01123154108377723,0.040258904439165674
2,0.03398649233354507,0.03618498877310776,0.021558695863852614,0.09173017697050545
3,0.001572247391787426,0.004705284293641904,0.005484394369572495,0.011761926055001825
4,0.013478439614746752,0.01486052765719135,0.012094837682646747,0.04043380495458485
5,0.03202879530311285,0.028961278087833196,0.01905112943406424,0.08004120282501029
6,0.028580428309634563,0.026668123905874187,0.015228994025912952,0.0704775462414217
7,0.1380078051016113,0.15688640974532464,0.05352046607008512,0.3484146809170211
8,0.1124129118943004,0.1775107341869194,0.056964617670256,0.3468882637514758
9,0.12467578885519454,0.15718250614139154,0.05610141365494337,0.33795970865152947
10,0.1500899787549883,0.25538091537179175,0.08540273942662101,0.4908736335534011
11,0.025471747823991447,0.024190078778621546,0.019064458604376174,0.06872628520698917
12,0.06477733596292938,0.057400014166362624,0.025934121054537133,0.14811147118382914
13,0.006140657208299162,0.007830676252543078,0.0058155854647929895,0.01978691892563523
14,0.03877491424074467,0.2693544220250512,0.07557551614734986,0.3837048524131457
15,0.35617328405716997,0.4635818205945677,0.1187853959283548,0.9385405005800925
total,0.11358623199809258,0.16602691949466022,0.04935902302111258,0.32897217451386535
