point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
0,0.008549083406622556,0.014441495780479895,0.01255959864702915,0.0355501778341316
1,0.01302595764619989,0.015939440631781442,0.010863564112870833,0.039828962390852166
2,0.033969873603726754,0.03615656711679403,0.02142985285052509,0.09155629357104589
3,0.0015706589937838666,0.0046975959277358904,0.005405154255353178,0.011673409176872936
4,0.013487190552243702,0.014800111496150776,0.011896015549857806,0.040183317598252284
5,0.032026584908149615,0.0289457674038178,0.019017975673042895,0.07999032798501031
6,0.23935882799305294,0.2544551260935457,0.060854952877496156,0.5546689069640949
7,0.02864017610562576,0.02682546693652935,0.01489919185401907,0.07036483489617418
8,0.020107285577753552,0.019209222750337568,0.010787154625917011,0.05010366295400814
9,0.1377733865749464,0.1567936896171684,0.053208188061427124,0.34777526425354194
10,0.11215821396622006,0.17746709105761896,0.056580628680291324,0.34620593370413033
11,0.1246300664305486,0.15697887315106,0.05565330488331436,0.337262244464923
12,0.1502723924168675,0.2553579088779649,0.08542987529481752,0.49106017658964984
13,0.025681773732004063,0.02424105401791828,0.017955905612809926,0.06787873336273227
14,0.0650965987853446,0.05790370680500029,0.024705931843141994,0.14770623743348688
15,0.006140378395970881,0.007670143794541429,0.005605544067253839,0.019416066257766148
16,0.038787782837423616,0.2694444314929716,0.07515805890355856,0.3833902732339538
17,0.35635789646860444,0.4639160754150365,0.11798197450526109,0.938255946388902
18,0.03311961813805011,0.026463657557434295,0.09189319784083011,0.15147647353631452
19,0.0040739293847323384,0.04454448505467024,0.05676806043217783,0.10538647487158041
total,0.1151831561214276,0.15954874161452792,0.05193110457238532,0.32666300230834083
