point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
0,0.008546757220678512,0.014438045064870286,0.012556482185332288,0.03554128447088109
1,0.013025740510785283,0.01593936292927198,0.010861780036883265,0.03982688347694053
2,0.03397115877437839,0.03615807074594291,0.021428677532420115,0.09155790705274142
3,0.001570982800974537,0.0046977049450311475,0.005404725437204901,0.011673413183210586
4,0.013487321513564094,0.014799972987786876,0.011894645324516827,0.0401819398258678
5,0.032026756407776955,0.028945979951633637,0.01901772017613525,0.07999045653554585
6,0.23936118660022948,0.25445737458326223,0.060853856243858875,0.5546724174273506
7,0.02864251151874197,0.026829047341781334,0.01489801916145979,0.0703695780219831
8,0.020107663969908086,0.019209392479857132,0.010786664780458114,0.05010372123022333
9,0.13776813221540224,0.15679006902584275,0.05320488406632593,0.34776308530757094
10,0.1121514386095353,0.17746189913246974,0.05657864016958587,0.3461919779115909
11,0.12462806723326883,0.1569811458917431,0.05564569124415349,0.33725490436916544
12,0.15027822298163585,0.25535751762962794,0.08543153097876043,0.4910672715900242
13,0.025681846641668903,0.02423947018209612,0.017947963031491862,0.06786927985525688
14,0.06509846830388208,0.05790616882647612,0.024701085940681027,0.1477057230710392
15,0.006140074952968929,0.0076700723977633604,0.005603869004260918,0.019414016354993208
16,0.038788775521044476,0.26944551293273933,0.07515548449892497,0.38338977295270876
17,0.356364906378006,0.46391913782548244,0.11798160119001,0.9382656453934984
18,0.033116145179338745,0.026462631486717122,0.09188262249044417,0.15146139915650003
19,0.004073751499578618,0.044545515224635845,0.056766283125750605,0.10538554984996507
total,0.11518417777108739,0.1595491432559132,0.051928842802538656,0.3266621638295393
