point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
0,0.007846436235894571,0.011414632340225198,0.011871663379912308,0.031132731956032077
1,0.013134259359106984,0.01583512050079039,0.010331025512513609,0.03930040537241098
2,0.031720994524432,0.03322249278384408,0.021228286649152453,0.08617177395742853
3,0.002166053358718184,0.004722452185480256,0.0048570009843838125,0.011745506528582254
4,0.013761310595502613,0.014821260559873442,0.011296012976723615,0.039878584132099666
5,0.11417843225053413,0.09492677437890125,0.05657618651893087,0.26568139314836625
6,0.09143692472892982,0.11391898448612352,0.06824249587876045,0.2735984050938138
7,0.10483775311897044,0.08709009981796317,0.060927756764772016,0.2528556097017056
8,0.17993047762766626,0.2619853894468703,0.0924930594194718,0.5344089264940084
total,0.0857630580495032,0.10537573382319997,0.04827531887377971,0.2394141107464829
