point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
0,0.355768226064749,0.46451388358676354,0.11565337852346431,0.9359354881749768
1,0.23939519946930068,0.2550162912016275,0.05903783544240527,0.5534493261133334
2,0.14980929575714458,0.25533897665436756,0.08534703623555753,0.4904953086470697
3,0.03803211257654844,0.27090983778446187,0.07286265063869447,0.38180460099970476
4,0.13860268597756448,0.15879725807953854,0.05254256296337309,0.34994250702047613
5,0.1258535288551391,0.15846427256155984,0.05475613620317544,0.33907393761987437
6,0.06586040015729382,0.05931541910870799,0.02178350759555317,0.14695932686155497
7,0.03270266747189396,0.027105170493837618,0.08597230629012402,0.14578014425585561
8,0.004039664503473494,0.04514002720822556,0.056443133278073016,0.10562282498977207
9,0.03393394224147126,0.036114310215451605,0.021106138366001708,0.09115439082292458
total,0.15792246903717738,0.21847630524903072,0.06834490677991047,0.44474368106611856
