point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
0,0.006976019087286869,0.00892300834023262,0.006885379476441987,0.022784406903961475
1,0.012719545475928287,0.015460692991083444,0.008320979516388686,0.03650121798340042
2,0.033556505909547445,0.03615624024455671,0.0200064133635318,0.08971915951763595
3,0.0014866622871186285,0.00445948658099554,0.0037661397622596477,0.009712288630373817
4,0.013767929610290433,0.014185710915725236,0.010861954230948052,0.03881559475696372
5,0.03184205890152534,0.028319058208515796,0.018651255356754624,0.07881237246679576
6,0.02912199190696317,0.02792992290041544,0.011428607851915362,0.06848052265929397
7,0.13494811251884017,0.15175877707666446,0.048812979392720494,0.3355198689882251
8,0.1090379485664252,0.17195523451616226,0.05318030036366348,0.334173483446251
9,0.12280602371878756,0.14858352696212454,0.051572164839676096,0.32296171552058817
10,0.15328614473023813,0.2565236848182524,0.0890535276624692,0.49886335721095976
11,0.027476216681730857,0.025344601419937312,0.009121444273780414,0.06194226237544858
12,0.06736518225944241,0.062168001854388005,0.014773786710780635,0.14430697082461105
13,0.006090426087026438,0.00646862150217863,0.0036717355061054715,0.01623078309531054
14,0.039867641939920255,0.26606666297744863,0.06853777943916671,0.3744720843565356
15,0.35935798404553604,0.47032777437674167,0.10964095028421567,0.9393267087064934
total,0.1140521224044593,0.16591764319470081,0.04607204590273764,0.3260418115018977
