point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
0,0.006912201538670284,0.008861177929115487,0.006840140764217014,0.022613520232002787
1,0.01270580438119507,0.015446284463502984,0.008308306957016023,0.03646039580171408
2,0.033658991230100986,0.03627733231739872,0.020029893389106115,0.08996621693660582
3,0.0014605211459350735,0.004463039262312007,0.003731867021438911,0.009655427429685991
4,0.013764753661546867,0.014184089532917875,0.010840442772804862,0.038789285967269604
5,0.031922741663674786,0.028421398796451725,0.018650668185964097,0.07899480864609061
6,0.23978225930799196,0.2578174917623273,0.051300682589566333,0.5489004336598856
7,0.029294931388921,0.028198410831353247,0.01138713111023013,0.06888047333050437
8,0.020265018068932297,0.019857703344586006,0.007269175371331298,0.047391896784849605
9,0.1373343424015773,0.1562000420533575,0.04857611300736368,0.3421104974622985
10,0.11197380221817888,0.1768120723669509,0.052434017352083605,0.34121989193721336
11,0.1252975161299262,0.15322567314588348,0.05121902493186655,0.3297422142076762
12,0.15178159651022022,0.2564272783193148,0.08873838151371731,0.4969472563432523
13,0.027365116727682316,0.02516649267520421,0.009064691805663922,0.06159630120855045
14,0.06766958856351946,0.06267317711767309,0.014869040295865249,0.1452118059770578
15,0.006202353121863145,0.006686426548179669,0.0036285982243212337,0.016517377894364048
16,0.038004601010958455,0.26869808566849435,0.06617274883741461,0.3728754355168674
17,0.3577594016670714,0.4696831173581103,0.10903838195255197,0.9364809009777337
18,0.030905613397230653,0.03176788700592848,0.06816307765906535,0.13083657806222448
19,0.003878789340790229,0.04583376223401689,0.05527409676722712,0.10498664834203424
total,0.1155910918368682,0.16058209801665593,0.046745844281514765,0.32291903413503886
