point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
0,0.11195174399453367,0.04254241296845654,0.005099438953560702,0.15959359591655092
1,0.10300020255480452,0.01001992034177875,0.008239912518809497,0.12126003541539276
2,0.24816472700996375,0.08657697507078466,0.019644967554482338,0.35438666963523074
3,0.040327574014011894,0.020147549618593642,0.015139350205421363,0.0756144738380269
4,0.010767756567129149,0.006948750741016527,0.004056051650243162,0.021772558958388838
5,0.024672994954985414,0.030927163449197517,0.016841656188731065,0.072441814592914
6,0.03170907549449362,0.003783357903056708,0.0029047833975594096,0.03839721679510974
7,0.1615473302023927,0.03995006271090046,0.018816528647932394,0.22031392156122556
8,0.08763125415819326,0.03213443230170084,0.020566036653043577,0.14033172311293768
9,0.12398045033961876,0.1323907318382483,0.10613932939161917,0.3625105115694862
10,0.09969267985998334,0.03954821370774782,0.009562258679787113,0.14880315224751828
11,0.03358009946911181,0.03272967462038948,0.01952722017213586,0.08583699426163714
12,0.06237099709888582,0.05079035766636745,0.005933441703087167,0.11909479646834044
13,0.07921139789253301,0.009378868443814511,0.007560678988337571,0.09615094532468509
14,0.05348323656048727,0.07202161049371532,0.12048541870354239,0.24599026575774496
total,0.10370588925458522,0.05258441110183327,0.043314348284246865,0.19960464864066535
