point,longitude,latitude,intercept_2022,cos_2022,sin_2022,intercept_2023,cos_2023,sin_2023
0,-125.96531748461157,49.5518346400243,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.044276026194951884,-0.028293863255978127,-0.003483636133354953
1,-124.23650972032355,47.94124516712642,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154,0.07361949199533516,0.008699415576507833,0.02977874088325035
2,-123.88068703628382,49.49910353284649,0.04322851639967138,-0.03812338413444807,-0.006041667466462303,0.08831383499158908,-0.004384364934688644,0.02383188650237941
3,-123.65601838372552,45.45596610208135,0.1708628425388603,0.01718882606671227,0.007595654394616263,0.1623772542171272,0.017922205263512365,0.005466587737892335
4,-123.29094305225935,49.583904495667376,0.21179934264290523,0.014559909865479854,0.004587733434866818,0.18312453745443763,-0.012818452470126954,-0.0022787899431393924
5,-122.70640929688277,44.652692575021675,0.06441266117203147,-0.013153591764491771,0.006623853424214902,0.23490410372433423,-0.05423305160869948,0.004048955221538934
6,-122.51003757577425,44.67065888070406,0.18258831619773058,0.0810015999332878,0.012150676208653736,0.33176276751578976,-0.027373142980260286,0.02163655833877843
7,-122.449580957153,44.677486076863374,0.06897549078971583,-0.009768185961210792,0.006656001800159501,0.25568336269771313,-0.024759676569824543,0.013455402474503997
8,-122.31636080051808,47.13159360154949,0.12059650279833643,-0.023879269993110675,0.0026450335575912806,0.10255642201955924,-0.04701850454324155,-0.009933528182212993
9,-122.31231838173954,44.74360208177457,0.19247578749115846,-0.04781441286724587,0.004175450287733794,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
10,-122.09025484350519,41.768561523827536,0.17987313596462007,-0.11041532501115688,-0.12386815005622719,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
11,-122.07552247284563,44.699674464381125,0.20461282514706244,-0.01550431510366915,-0.013204776731030604,0.16590311923570497,-0.04102251280002372,-0.008202050391307777
12,-122.06878510821474,44.727971395830885,0.08328512141223078,0.004425326626098816,0.010025834855714373,0.09285786886981323,0.015807361266766923,0.017702205093882404
13,-121.00769509461276,48.77640888677234,0.09858727336761434,-0.009683018690818876,0.01207872043972477,0.09631716656308842,-0.016694537807318218,0.014832911543928753
14,-120.9771523749527,48.72035401304328,0.058104531911642276,-0.018573198919028193,8.049099638454415e-05,0.07778437107250359,-0.00020305523176373532,0.016837940480050016
