point,INTP,COS0,SIN0,estimate,z,date
0,0.08793223,-0.009478184,0.016032416,0.10325447,0.0,1654560000000.0
0,0.08793223,-0.009478184,0.016032416,0.10165706,0.0,1655251100000.0
0,0.08793223,-0.009478184,0.016032416,0.100759014,0.0,1655596800000.0
0,0.08793223,-0.009478184,0.016032416,0.09980016,0.0,1655942400000.0
0,0.087933876,-0.009548655,0.016040346,0.09885773,0.099145,1656288000000.0
0,0.087933876,-0.009548655,0.016040346,0.09779111,0.0,1656633600000.0
0,0.087933876,-0.009548655,0.016040346,0.09667783,0.0,1656979200000.0
0,0.087933876,-0.009548655,0.016040346,0.09552318,0.0,1657324800000.0
0,0.08792463,-0.008699977,0.016277246,0.09344543,0.091445,1657670300000.0
0,0.08792463,-0.008699977,0.016277246,0.09222149,0.0,1658016000000.0
0,0.08793599,-0.010448275,0.015381483,0.09293129,0.0964225,1658361600000.0
0,0.08793599,-0.010448275,0.015381483,0.091688,0.0,1658707200000.0
0,0.087933645,-0.009912531,0.015824111,0.089747675,0.0886675,1659052800000.0
0,0.087933645,-0.009912531,0.015824111,0.08846562,0.0,1659398400000.0
0,0.08793155,-0.009289409,0.016619455,0.086215615,0.08479,1659744000000.0
0,0.08793155,-0.009289409,0.016619455,0.08491594,0.0,1660089700000.0
0,0.087932855,-0.009707424,0.015780853,0.08450517,0.085725,1660435200000.0
0,0.087932855,-0.009707424,0.015780853,0.08326133,0.0,1660780800000.0
0,0.08793232,-0.009569253,0.01626413,0.08157968,0.0809675,1661126400000.0
0,0.08793232,-0.009569253,0.01626413,0.080373,0.0,1661472000000.0
0,0.08793232,-0.009569253,0.01626413,0.07920204,0.0,1661817600000.0
0,0.08793232,-0.009569253,0.01626413,0.078072466,0.0,1662163200000.0
0,0.087932676,-0.009544344,0.015972752,0.07724581,0.07753,1662508900000.0
0,0.087932676,-0.009544344,0.015972752,0.07622382,0.0,1662854400000.0
0,0.087932676,-0.009544344,0.015972752,0.104016386,0.0,1685750400000.0
0,0.08792562,-0.005560711,0.013333803,0.09860216,0.0959825,1686096000000.0
0,0.08792562,-0.005560711,0.013333803,0.09790776,0.0,1686441600000.0
0,0.08792562,-0.005560711,0.013333803,0.097166084,0.0,1686787200000.0
0,0.08792562,-0.005560711,0.013333803,0.09638064,0.0,1687132800000.0
0,0.08792606,-0.0034349686,0.01280308,0.09337227,0.0907575,1687478300000.0
0,0.08792606,-0.0034349686,0.01280308,0.09252849,0.0,1687824000000.0
0,0.08792536,-0.00441437,0.012763713,0.09264034,0.0940575,1688169600000.0
0,0.08792536,-0.00441437,0.012763713,0.09175904,0.0,1688515200000.0
0,0.08792536,-0.00441437,0.012763713,0.090859585,0.0,1688860800000.0
0,0.08792536,-0.00441437,0.012763713,0.08994624,0.0,1689206400000.0
0,0.08792716,-0.0028870841,0.013858974,0.087273285,0.0848725,1689552000000.0
0,0.08792716,-0.0028870841,0.013858974,0.086302534,0.0,1689897700000.0
0,0.08792707,-0.0029923785,0.013748171,0.08547886,0.08567,1690243200000.0
0,0.08792707,-0.0029923785,0.013748171,0.084532015,0.0,1690588800000.0
0,0.08792776,-0.0012469825,0.016444264,0.08073762,0.0768975,1690934400000.0
0,0.08792776,-0.0012469825,0.016444264,0.079734206,0.0,1691280000000.0
0,0.087927535,-0.00049842265,0.018203095,0.0770955,0.0749175,1691625600000.0
0,0.087927535,-0.00049842265,0.018203095,0.07611465,0.0,1691971200000.0
0,0.08792967,-0.0017843529,0.013056291,0.079785444,0.0855875,1692316900000.0
0,0.08792967,-0.0017843529,0.013056291,0.079092436,0.0,1692662400000.0
0,0.087928966,-0.0016746442,0.01415327,0.07749011,0.07632,1693008000000.0
0,0.087928966,-0.0016746442,0.01415327,0.07684767,0.0,1693353600000.0
0,0.087928966,-0.0016746442,0.01415327,0.07625772,0.0,1693699100000.0
0,0.087928966,-0.0016746442,0.01415327,0.07572294,0.0,1694044800000.0
0,0.087922156,-0.0029571464,0.01983527,0.070360005,0.0654025,1694390400000.0
1,0.16603802,-0.023267314,-0.01617258,0.18039134,0.0,1654560000000.0
1,0.16603802,-0.023267314,-0.01617258,0.18360737,0.0,1655251100000.0
1,0.16603802,-0.023267314,-0.01617258,0.18509424,0.0,1655596800000.0
1,0.16603802,-0.023267314,-0.01617258,0.18649109,0.0,1655942400000.0
1,0.16598454,-0.020975629,-0.016430436,0.18543208,0.17609,1656288000000.0
1,0.16603306,-0.025541712,-0.016364438,0.19125335,0.2018575,1656633600000.0
1,0.16603306,-0.025541712,-0.016364438,0.19235258,0.0,1656979200000.0
1,0.16603306,-0.025541712,-0.016364438,0.19332725,0.0,1657324800000.0
1,0.16599762,-0.019826405,-0.014461821,0.18816783,0.1773,1657670300000.0
1,0.16602929,-0.0280532,-0.018122183,0.19775586,0.212555,1658016000000.0
1,0.16602089,-0.024707511,-0.016143521,0.1945875,0.18852,1658361600000.0
1,0.16603234,-0.031328723,-0.021254718,0.2031163,0.2156625,1658707200000.0
1,0.16602238,-0.023608902,-0.013598662,0.19321817,0.17752,1659052800000.0
1,0.16602433,-0.02542739,-0.015894765,0.19599955,0.20007,1659398400000.0
1,0.16601922,-0.020455386,-0.007905801,0.18736605,0.17477,1659744000000.0
1,0.16601902,-0.020287896,-0.007559904,0.18662407,0.1861275,1660089700000.0
1,0.16601975,-0.020810982,-0.008982233,0.18746266,0.18935876,1660435200000.0
1,0.16602626,-0.024241824,-0.021856384,0.19858009,0.2147825,1660780800000.0
1,0.16602217,-0.022854257,-0.013971143,0.19139364,0.1818925,1661126400000.0
1,0.16602631,-0.023564063,-0.02160439,0.19734563,0.2062575,1661472000000.0
1,0.16602631,-0.023564063,-0.02160439,0.19683062,0.0,1661817600000.0
1,0.16602513,-0.0238073,-0.02002489,0.1948887,0.1933325,1662163200000.0
1,0.16602162,-0.02461352,-0.015168019,0.18991406,0.18473876,1662508900000.0
1,0.16602162,-0.02461352,-0.015168019,0.18873817,0.0,1662854400000.0
1,0.16602162,-0.02461352,-0.015168019,0.18021625,0.0,1685750400000.0
1,0.16602914,-0.03531491,-0.008994233,0.19423014,0.19809,1686096000000.0
1,0.16602914,-0.03531491,-0.008994233,0.19575027,0.0,1686441600000.0
1,0.16602914,-0.03531491,-0.008994233,0.19712983,0.0,1686787200000.0
1,0.16602914,-0.03531491,-0.008994233,0.19836226,0.0,1687132800000.0
1,0.16603215,-0.031617276,-0.009922758,0.19564584,0.1916825,1687478300000.0
1,0.16603215,-0.031617276,-0.009922758,0.19659816,0.0,1687824000000.0
1,0.16602805,-0.035184853,-0.009995821,0.20096667,0.2059,1688169600000.0
1,0.16602805,-0.035184853,-0.009995821,0.20162827,0.0,1688515200000.0
1,0.16601364,-0.046944354,-0.0140077025,0.21424644,0.23219,1688860800000.0
