point,INTP,COS0,SIN0,estimate,z,date
0,0.08793223,-0.009478184,0.016032416,0.10325447,0.0,1654560000000.0
0,0.08793223,-0.009478184,0.016032416,0.10165706,0.0,1655251100000.0
0,0.08793223,-0.009478184,0.016032416,0.100759014,0.0,1655596800000.0
0,0.08793223,-0.009478184,0.016032416,0.09980016,0.0,1655942400000.0
0,0.087933235,-0.009480389,0.01603313,0.09878846,0.099145,1656288000000.0
0,0.087933235,-0.009480389,0.01603313,0.09772208,0.0,1656633600000.0
0,0.087933235,-0.009480389,0.01603313,0.09660937,0.0,1656979200000.0
0,0.087933235,-0.009480389,0.01603313,0.0954556,0.0,1657324800000.0
0,0.08792541,-0.009463499,0.016051963,0.0942383,0.091445,1657670300000.0
0,0.08792541,-0.009463499,0.016051963,0.09301795,0.0,1658016000000.0
0,0.08793813,-0.00948997,0.01597964,0.091834374,0.0964225,1658361600000.0
0,0.08793813,-0.00948997,0.01597964,0.090575725,0.0,1658707200000.0
0,0.08793642,-0.009486624,0.015997011,0.08929214,0.0886675,1659052800000.0
0,0.08793642,-0.009486624,0.015997011,0.0880136,0.0,1659398400000.0
0,0.087931395,-0.009477569,0.016076671,0.08667721,0.08479,1659744000000.0
0,0.087931395,-0.009477569,0.016076671,0.08539994,0.0,1660089700000.0
0,0.087935306,-0.0094837975,0.015988404,0.08420254,0.085725,1660435200000.0
0,0.087935306,-0.0094837975,0.015988404,0.08295921,0.0,1660780800000.0
0,0.08793354,-0.009481431,0.016042136,0.08169503,0.0809675,1661126400000.0
0,0.08793354,-0.009481431,0.016042136,0.0805025,0.0,1661472000000.0
0,0.08793354,-0.009481431,0.016042136,0.079345085,0.0,1661817600000.0
0,0.08793354,-0.009481431,0.016042136,0.07822837,0.0,1662163200000.0
0,0.0879343,-0.009481953,0.01600953,0.07718839,0.07753,1662508900000.0
0,0.0879343,-0.009481953,0.01600953,0.07616943,0.0,1662854400000.0
0,0.0879343,-0.009481953,0.01600953,0.10398123,0.0,1685750400000.0
0,0.08791299,-0.009440704,0.01566497,0.10309127,0.0959825,1686096000000.0
0,0.08791299,-0.009440704,0.01566497,0.10235377,0.0,1686441600000.0
0,0.08791299,-0.009440704,0.01566497,0.10154787,0.0,1686787200000.0
0,0.08791299,-0.009440704,0.01566497,0.100677386,0.0,1687132800000.0
0,0.0878886,-0.009388107,0.015479107,0.09964039,0.0907575,1687478300000.0
0,0.0878886,-0.009388107,0.015479107,0.09866583,0.0,1687824000000.0
0,0.08787923,-0.009367371,0.015463521,0.097609684,0.0940575,1688169600000.0
0,0.08787923,-0.009367371,0.015463521,0.096538976,0.0,1688515200000.0
0,0.08787923,-0.009367371,0.015463521,0.095427305,0.0,1688860800000.0
0,0.08787923,-0.009367371,0.015463521,0.0942799,0.0,1689206400000.0
0,0.08785922,-0.009323396,0.015752848,0.09296756,0.0848725,1689552000000.0
0,0.08785922,-0.009323396,0.015752848,0.09174691,0.0,1689897700000.0
0,0.08784814,-0.009299987,0.016032256,0.09036908,0.08567,1690243200000.0
0,0.08784814,-0.009299987,0.016032256,0.08910063,0.0,1690588800000.0
0,0.08782514,-0.009254676,0.016907297,0.08732411,0.0768975,1690934400000.0
0,0.08782514,-0.009254676,0.016907297,0.086000524,0.0,1691280000000.0
0,0.08780679,-0.009222481,0.0178841,0.084039554,0.0749175,1691625600000.0
0,0.08780679,-0.009222481,0.0178841,0.08268937,0.0,1691971200000.0
0,0.08781366,-0.009232414,0.017394809,0.08172902,0.0855875,1692316900000.0
0,0.08781366,-0.009232414,0.017394809,0.08045566,0.0,1692662400000.0
0,0.087809704,-0.009228389,0.017761951,0.078914315,0.07632,1693008000000.0
0,0.087809704,-0.009228389,0.017761951,0.077702515,0.0,1693353600000.0
0,0.087809704,-0.009228389,0.017761951,0.076538615,0.0,1693699100000.0
0,0.087809704,-0.009228389,0.017761951,0.075427935,0.0,1694044800000.0
0,0.08780025,-0.009230867,0.019014237,0.0731935,0.0654025,1694390400000.0
1,0.16603802,-0.023267314,-0.01617258,0.18039134,0.0,1654560000000.0
1,0.16603802,-0.023267314,-0.01617258,0.18360737,0.0,1655251100000.0
1,0.16603802,-0.023267314,-0.01617258,0.18509424,0.0,1655596800000.0
1,0.16603802,-0.023267314,-0.01617258,0.18649109,0.0,1655942400000.0
1,0.16600528,-0.023195624,-0.01619579,0.18768486,0.17609,1656288000000.0
1,0.16604127,-0.023274712,-0.016187025,0.18899842,0.2018575,1656633600000.0
1,0.16604127,-0.023274712,-0.016187025,0.19008778,0.0,1656979200000.0
1,0.16604127,-0.023274712,-0.016187025,0.19106336,0.0,1657324800000.0
1,0.1660011,-0.023187988,-0.01605325,0.19177021,0.1773,1657670300000.0
1,0.16605552,-0.02330363,-0.016367666,0.19274308,0.212555,1658016000000.0
1,0.1660426,-0.02327675,-0.016252795,0.19328807,0.18852,1658361600000.0
1,0.1660997,-0.023392303,-0.016976412,0.19421339,0.2156625,1658707200000.0
1,0.16605647,-0.023307784,-0.016235089,0.19415866,0.17752,1659052800000.0
1,0.1660703,-0.023333693,-0.01654429,0.19456924,0.20007,1659398400000.0
1,0.16602446,-0.023252193,-0.015243162,0.1938223,0.17477,1659744000000.0
1,0.1660081,-0.023224944,-0.01466516,0.19332282,0.1861275,1660089700000.0
1,0.16600074,-0.023213673,-0.014346423,0.19282922,0.18935876,1660435200000.0
1,0.16604115,-0.023269175,-0.016470788,0.19403458,0.2147825,1660780800000.0
1,0.16602221,-0.023246743,-0.015270852,0.19264296,0.1818925,1661126400000.0
1,0.16604254,-0.023266185,-0.016815687,0.19330876,0.2062575,1661472000000.0
1,0.16604254,-0.023266185,-0.016815687,0.19262677,0.0,1661817600000.0
1,0.16604434,-0.023266867,-0.016992787,0.19197749,0.1933325,1662163200000.0
1,0.16603784,-0.023266802,-0.016242046,0.19036119,0.18473876,1662508900000.0
1,0.16603784,-0.023266802,-0.016242046,0.18929894,0.0,1662854400000.0
1,0.16603784,-0.023266802,-0.016242046,0.17853415,0.0,1685750400000.0
1,0.16609567,-0.023373982,-0.015105787,0.18089157,0.19809,1686096000000.0
1,0.16609567,-0.023373982,-0.015105787,0.18247712,0.0,1686441600000.0
1,0.16609567,-0.023373982,-0.015105787,0.18398523,0.0,1686787200000.0
1,0.16609567,-0.023373982,-0.015105787,0.18540876,0.0,1687132800000.0
1,0.16610938,-0.023402968,-0.014965988,0.18680556,0.1916825,1687478300000.0
1,0.16610938,-0.023402968,-0.014965988,0.18803054,0.0,1687824000000.0
1,0.16615199,-0.023497315,-0.014843269,0.1892917,0.2059,1688169600000.0
1,0.16615199,-0.023497315,-0.014843269,0.19029543,0.0,1688515200000.0
1,0.16624703,-0.023714324,-0.015548289,0.19157568,0.23219,1688860800000.0
