point,INTP,COS0,SIN0,estimate,z,date
0,0.08793223,-0.009478184,0.016032416,0.10325447,0.0,1654560000000.0
0,0.08793223,-0.009478184,0.016032416,0.10165706,0.0,1655251100000.0
0,0.08793223,-0.009478184,0.016032416,0.100759014,0.0,1655596800000.0
0,0.08793223,-0.009478184,0.016032416,0.09980016,0.0,1655942400000.0
0,0.088156715,-0.009587512,0.01605105,0.09912023,0.099145,1656288000000.0
0,0.088156715,-0.009587512,0.01605105,0.09805301,0.0,1656633600000.0
0,0.088156715,-0.009587512,0.01605105,0.09693895,0.0,1656979200000.0
0,0.088156715,-0.009587512,0.01605105,0.095783345,0.0,1657324800000.0
0,0.0871316,-0.00910484,0.018698882,0.092599794,0.091445,1657670300000.0
0,0.0871316,-0.00910484,0.018698882,0.09120721,0.0,1658016000000.0
0,0.0886248,-0.009468096,0.013290747,0.09335813,0.0964225,1658361600000.0
0,0.0886248,-0.009468096,0.013290747,0.09227319,0.0,1658707200000.0
0,0.0881426,-0.009538556,0.015200099,0.08990024,0.0886675,1659052800000.0
0,0.0881426,-0.009538556,0.015200099,0.08866819,0.0,1659398400000.0
0,0.08763505,-0.009808254,0.016995449,0.086135074,0.08479,1659744000000.0
0,0.08763505,-0.009808254,0.016995449,0.08479341,0.0,1660089700000.0
0,0.08810873,-0.009426263,0.015673343,0.084545255,0.085725,1660435200000.0
0,0.08810873,-0.009426263,0.015673343,0.083320215,0.0,1660780800000.0
0,0.087835275,-0.009691851,0.016238414,0.081580944,0.0809675,1661126400000.0
0,0.087835275,-0.009691851,0.016238414,0.0803687,0.0,1661472000000.0
0,0.087835275,-0.009691851,0.016238414,0.07919173,0.0,1661817600000.0
0,0.087835275,-0.009691851,0.016238414,0.078055725,0.0,1662163200000.0
0,0.088025644,-0.00944443,0.01600898,0.07726492,0.07753,1662508900000.0
0,0.088025644,-0.00944443,0.01600898,0.07624836,0.0,1662854400000.0
0,0.088025644,-0.00944443,0.01600898,0.10403947,0.0,1685750400000.0
0,0.084583856,-0.009081424,0.011802703,0.09780366,0.0959825,1686096000000.0
0,0.084583856,-0.009081424,0.011802703,0.097300984,0.0,1686441600000.0
0,0.084583856,-0.009081424,0.011802703,0.096738085,0.0,1686787200000.0
0,0.084583856,-0.009081424,0.011802703,0.09611763,0.0,1687132800000.0
0,0.08424308,-0.0074421065,0.011173682,0.0933828,0.0907575,1687478300000.0
0,0.08424308,-0.0074421065,0.011173682,0.092685096,0.0,1687824000000.0
0,0.08426664,-0.008235013,0.011135234,0.09276269,0.0940575,1688169600000.0
0,0.08426664,-0.008235013,0.011135234,0.091990575,0.0,1688515200000.0
0,0.08426664,-0.008235013,0.011135234,0.09118191,0.0,1688860800000.0
0,0.08426664,-0.008235013,0.011135234,0.090340525,0.0,1689206400000.0
0,0.08441242,-0.006474576,0.0121093,0.08766866,0.0848725,1689552000000.0
0,0.08441242,-0.006474576,0.0121093,0.08674377,0.0,1689897700000.0
0,0.084407225,-0.006436047,0.012141413,0.08575482,0.08567,1690243200000.0
0,0.084407225,-0.006436047,0.012141413,0.08481136,0.0,1690588800000.0
0,0.08363368,-0.0052338378,0.013847464,0.081195466,0.0768975,1690934400000.0
0,0.08363368,-0.0052338378,0.013847464,0.08019732,0.0,1691280000000.0
0,0.08284145,-0.004963283,0.014909044,0.0775556,0.0749175,1691625600000.0
0,0.08284145,-0.004963283,0.014909044,0.07655063,0.0,1691971200000.0
0,0.085374296,-0.004505445,0.012519188,0.0795079,0.0855875,1692316900000.0
0,0.085374296,-0.004505445,0.012519188,0.0787007,0.0,1692662400000.0
0,0.08487331,-0.004743509,0.012871673,0.07727994,0.07632,1693008000000.0
0,0.08487331,-0.004743509,0.012871673,0.07651241,0.0,1693353600000.0
0,0.08487331,-0.004743509,0.012871673,0.07578449,0.0,1693699100000.0
0,0.08487331,-0.004743509,0.012871673,0.075099505,0.0,1694044800000.0
0,0.08078649,-0.008400626,0.014406599,0.070209414,0.0654025,1694390400000.0
1,0.072439805,-0.029722618,-0.009684247,0.09537264,0.0,1654560000000.0
1,0.072439805,-0.029722618,-0.009684247,0.09807024,0.0,1655251100000.0
1,0.072439805,-0.029722618,-0.009684247,0.09924003,0.0,1655596800000.0
1,0.072439805,-0.029722618,-0.009684247,0.1002831,0.0,1655942400000.0
1,0.07537328,-0.031151285,-0.00944075,0.105572365,0.10589625,1656288000000.0
1,0.07537328,-0.031151285,-0.00944075,0.10633606,0.0,1656633600000.0
1,0.07537328,-0.031151285,-0.00944075,0.10695321,0.0,1656979200000.0
1,0.07537328,-0.031151285,-0.00944075,0.1074209,0.0,1657324800000.0
1,0.07031651,-0.028770333,0.0036206366,0.097911455,0.092215,1657670300000.0
1,0.07031651,-0.028770333,0.0036206366,0.09723365,0.0,1658016000000.0
1,0.073617734,-0.029573433,-0.008335852,0.10430519,0.11108,1658361600000.0
1,0.073617734,-0.029573433,-0.008335852,0.10412709,0.0,1658707200000.0
1,0.07241304,-0.029749468,-0.003565635,0.100629814,0.09755,1659052800000.0
1,0.07241304,-0.029749468,-0.003565635,0.09987016,0.0,1659398400000.0
1,0.07355335,-0.029143546,-0.0075991987,0.10189805,0.10492,1659744000000.0
1,0.07355335,-0.029143546,-0.0075991987,0.10113092,0.0,1660089700000.0
1,0.07355335,-0.029143546,-0.0075991987,0.10023326,0.0,1660435200000.0
1,0.07355335,-0.029143546,-0.0075991987,0.09920926,0.0,1660780800000.0
1,0.07464214,-0.027857102,-0.010396806,0.1004759,0.10239,1661126400000.0
1,0.07464214,-0.027857102,-0.010396806,0.09940258,0.0,1661472000000.0
1,0.07568646,-0.026695563,-0.01219369,0.10016562,0.10217,1661817600000.0
1,0.07568646,-0.026695563,-0.01219369,0.09899456,0.0,1662163200000.0
1,0.07250726,-0.03015192,-0.008663975,0.092722245,0.0869625,1662508900000.0
1,0.07250726,-0.03015192,-0.008663975,0.09102491,0.0,1662854400000.0
1,0.07250726,-0.03015192,-0.008663975,0.09469663,0.0,1685750400000.0
1,0.07702443,-0.030546093,-0.0034367251,0.10325336,0.10562125,1686096000000.0
1,0.07702443,-0.030546093,-0.0034367251,0.10429328,0.0,1686441600000.0
1,0.0761168,-0.029420031,-0.0045284536,0.10289898,0.1001625,1686787200000.0
1,0.0761168,-0.029420031,-0.0045284536,0.10372882,0.0,1687132800000.0
1,0.076378405,-0.031239348,-0.0043459176,0.106514566,0.1097875,1687478300000.0
1,0.076378405,-0.031239348,-0.0043459176,0.10708303,0.0,1687824000000.0
1,0.07640588,-0.028785832,-0.0037987148,0.10509383,0.101125,1688169600000.0
1,0.07640588,-0.028785832,-0.0037987148,0.10533385,0.0,1688515200000.0
1,0.07640588,-0.028785832,-0.0037987148,0.105436966,0.0,1688860800000.0
