point,INTP,COS0,SIN0,estimate,z,date
0,0.08793223,-0.009478184,0.016032416,0.10325447,0.0,1654560000000.0
0,0.08793223,-0.009478184,0.016032416,0.10165706,0.0,1655251100000.0
0,0.08793223,-0.009478184,0.016032416,0.100759014,0.0,1655596800000.0
0,0.08793223,-0.009478184,0.016032416,0.09980016,0.0,1655942400000.0
0,0.08822735,-0.009491077,0.01603305,0.09909321,0.099145,1656288000000.0
0,0.08822735,-0.009491077,0.01603305,0.09802687,0.0,1656633600000.0
0,0.08822735,-0.009491077,0.01603305,0.096914165,0.0,1656979200000.0
0,0.08822735,-0.009491077,0.01603305,0.09576034,0.0,1657324800000.0
0,0.085586645,-0.009414796,0.016047835,0.09185246,0.091445,1657670300000.0
0,0.085586645,-0.009414796,0.016047835,0.09063311,0.0,1658016000000.0
0,0.091556616,-0.009561248,0.016026562,0.095505446,0.0964225,1658361600000.0
0,0.091556616,-0.009561248,0.016026562,0.09424205,0.0,1658707200000.0
0,0.08789166,-0.009486774,0.016038178,0.089229144,0.0886675,1659052800000.0
0,0.08789166,-0.009486774,0.016038178,0.087948106,0.0,1659398400000.0
0,0.086283214,-0.009462673,0.016042903,0.0850358,0.08479,1659744000000.0
0,0.086283214,-0.009462673,0.016042903,0.083761014,0.0,1660089700000.0
0,0.08906387,-0.009486345,0.016035449,0.08530135,0.085725,1660435200000.0
0,0.08906387,-0.009486345,0.016035449,0.08405557,0.0,1660780800000.0
0,0.08744739,-0.009484581,0.016039293,0.08121308,0.0809675,1661126400000.0
0,0.08744739,-0.009484581,0.016039293,0.0800205,0.0,1661472000000.0
0,0.08744739,-0.009484581,0.016039293,0.078863,0.0,1661817600000.0
0,0.08744739,-0.009484581,0.016039293,0.077746205,0.0,1662163200000.0
0,0.08819702,-0.009461234,0.016036762,0.0774178,0.07753,1662508900000.0
0,0.08819702,-0.009461234,0.016036762,0.076399446,0.0,1662854400000.0
0,0.08819702,-0.009461234,0.016036762,0.104238994,0.0,1685750400000.0
0,0.08227297,-0.008744265,0.01586829,0.09690607,0.0959825,1686096000000.0
0,0.08227297,-0.008744265,0.01586829,0.09613694,0.0,1686441600000.0
0,0.08227297,-0.008744265,0.01586829,0.09530216,0.0,1686787200000.0
0,0.08227297,-0.008744265,0.01586829,0.09440565,0.0,1687132800000.0
0,0.08005431,-0.008615663,0.015873278,0.09110698,0.0907575,1687478300000.0
0,0.08005431,-0.008615663,0.015873278,0.09009879,0.0,1687824000000.0
0,0.084269,-0.008763569,0.015859945,0.09340519,0.0940575,1688169600000.0
0,0.084269,-0.008763569,0.015859945,0.092307664,0.0,1688515200000.0
0,0.084269,-0.008763569,0.015859945,0.09117211,0.0,1688860800000.0
0,0.084269,-0.008763569,0.015859945,0.09000387,0.0,1689206400000.0
0,0.080916144,-0.0086954925,0.015879814,0.08538475,0.0848725,1689552000000.0
0,0.080916144,-0.0086954925,0.015879814,0.0841679,0.0,1689897700000.0
0,0.08326295,-0.008725602,0.015871992,0.085313275,0.08567,1690243200000.0
0,0.08326295,-0.008725602,0.015871992,0.084071115,0.0,1690588800000.0
0,0.07813505,-0.008705074,0.015886351,0.077672265,0.0768975,1690934400000.0
0,0.07813505,-0.008705074,0.015886351,0.07642826,0.0,1691280000000.0
0,0.077895485,-0.008706452,0.01588695,0.07495348,0.0749175,1691625600000.0
0,0.077895485,-0.008706452,0.01588695,0.07373133,0.0,1691971200000.0
0,0.08935167,-0.0085212225,0.015862003,0.08387435,0.0855875,1692316900000.0
0,0.08935167,-0.0085212225,0.015862003,0.08270798,0.0,1692662400000.0
0,0.08472206,-0.008646118,0.015870472,0.07701024,0.07632,1693008000000.0
0,0.08472206,-0.008646118,0.015870472,0.07590469,0.0,1693353600000.0
0,0.08472206,-0.008646118,0.015870472,0.07484093,0.0,1693699100000.0
0,0.08472206,-0.008646118,0.015870472,0.073823825,0.0,1694044800000.0
0,0.07804404,-0.009229467,0.01588546,0.06636953,0.0654025,1694390400000.0
1,0.072439805,-0.029722618,-0.009684247,0.09537264,0.0,1654560000000.0
1,0.072439805,-0.029722618,-0.009684247,0.09807024,0.0,1655251100000.0
1,0.072439805,-0.029722618,-0.009684247,0.09924003,0.0,1655596800000.0
1,0.072439805,-0.029722618,-0.009684247,0.1002831,0.0,1655942400000.0
1,0.076296285,-0.029891096,-0.009675969,0.105219364,0.10589625,1656288000000.0
1,0.076296285,-0.029891096,-0.009675969,0.10599456,0.0,1656633600000.0
1,0.076296285,-0.029891096,-0.009675969,0.10662919,0.0,1656979200000.0
1,0.076296285,-0.029891096,-0.009675969,0.107120275,0.0,1657324800000.0
1,0.0634128,-0.029518936,-0.009603828,0.09420289,0.092215,1657670300000.0
1,0.0634128,-0.029518936,-0.009603828,0.09440134,0.0,1658016000000.0
1,0.07752732,-0.029865187,-0.009654125,0.10891186,0.11108,1658361600000.0
1,0.07752732,-0.029865187,-0.009654125,0.108811595,0.0,1658707200000.0
1,0.06813715,-0.029674374,-0.009624365,0.09898904,0.09755,1659052800000.0
1,0.06813715,-0.029674374,-0.009624365,0.09859829,0.0,1659398400000.0
1,0.07401335,-0.02976242,-0.009641627,0.10402199,0.10492,1659744000000.0
1,0.07401335,-0.02976242,-0.009641627,0.103342794,0.0,1660089700000.0
1,0.07401335,-0.02976242,-0.009641627,0.10252479,0.0,1660435200000.0
1,0.07401335,-0.02976242,-0.009641627,0.101571776,0.0,1660780800000.0
1,0.07566664,-0.029751167,-0.009649346,0.10214046,0.10239,1661126400000.0
1,0.07566664,-0.029751167,-0.009649346,0.10093271,0.0,1661472000000.0
1,0.07789515,-0.029739039,-0.009654545,0.10183181,0.10217,1661817600000.0
1,0.07789515,-0.029739039,-0.009654545,0.10039207,0.0,1662163200000.0
1,0.06754452,-0.029869303,-0.00963708,0.088532545,0.0869625,1662508900000.0
1,0.06754452,-0.029869303,-0.00963708,0.08687843,0.0,1662854400000.0
1,0.06754452,-0.029869303,-0.00963708,0.08901552,0.0,1685750400000.0
1,0.07932557,-0.03132907,-0.009299451,0.103785425,0.10562125,1686096000000.0
1,0.07932557,-0.03132907,-0.009299451,0.105217576,0.0,1686441600000.0
1,0.074042186,-0.031065028,-0.009303043,0.1009905,0.1001625,1686787200000.0
1,0.074042186,-0.031065028,-0.009303043,0.10216699,0.0,1687132800000.0
1,0.07955675,-0.031277012,-0.009318394,0.108931646,0.1097875,1687478300000.0
1,0.07955675,-0.031277012,-0.009318394,0.10983976,0.0,1687824000000.0
1,0.071572736,-0.031013954,-0.009292601,0.10235825,0.101125,1688169600000.0
1,0.071572736,-0.031013954,-0.009292601,0.10297457,0.0,1688515200000.0
1,0.071572736,-0.031013954,-0.009292601,0.10344226,0.0,1688860800000.0
