point,INTP,COS0,SIN0,estimate,z,date
0,0.08793223,-0.009478184,0.016032416,0.10325447,0.0,1654560000000.0
0,0.08793223,-0.009478184,0.016032416,0.10165706,0.0,1655251100000.0
0,0.08793223,-0.009478184,0.016032416,0.100759014,0.0,1655596800000.0
0,0.08793223,-0.009478184,0.016032416,0.09980016,0.0,1655942400000.0
0,0.088016964,-0.009653699,0.01605829,0.099047035,0.099145,1656288000000.0
0,0.088016964,-0.009653699,0.01605829,0.097979575,0.0,1656633600000.0
0,0.088016964,-0.009653699,0.01605829,0.09686495,0.0,1656979200000.0
0,0.088016964,-0.009653699,0.01605829,0.09570846,0.0,1657324800000.0
0,0.087530576,-0.008832063,0.017302822,0.092990406,0.091445,1657670300000.0
0,0.087530576,-0.008832063,0.017302822,0.091695644,0.0,1658016000000.0
0,0.08830298,-0.009689545,0.014153438,0.09297097,0.0964225,1658361600000.0
0,0.08830298,-0.009689545,0.014153438,0.09182511,0.0,1658707200000.0
0,0.08808529,-0.0095838355,0.015351519,0.08981591,0.0886675,1659052800000.0
0,0.08808529,-0.0095838355,0.015351519,0.088573225,0.0,1659398400000.0
0,0.08784495,-0.009608995,0.016934473,0.08621494,0.08479,1659744000000.0
0,0.08784495,-0.009608995,0.016934473,0.084884785,0.0,1660089700000.0
0,0.088026896,-0.009499788,0.015629968,0.084547006,0.085725,1660435200000.0
0,0.088026896,-0.009499788,0.015629968,0.08332057,0.0,1660780800000.0
0,0.08793644,-0.009585916,0.016280463,0.08158194,0.0809675,1661126400000.0
0,0.08793644,-0.009585916,0.016280463,0.08037367,0.0,1661472000000.0
0,0.08793644,-0.009585916,0.016280463,0.079201125,0.0,1661817600000.0
0,0.08793644,-0.009585916,0.016280463,0.07807,0.0,1662163200000.0
0,0.08798172,-0.009512121,0.015985876,0.07726972,0.07753,1662508900000.0
0,0.08798172,-0.009512121,0.015985876,0.07624944,0.0,1662854400000.0
0,0.08798172,-0.009512121,0.015985876,0.104043595,0.0,1685750400000.0
0,0.08574497,-0.008761784,0.012162789,0.09882735,0.0959825,1686096000000.0
0,0.08574497,-0.008761784,0.012162789,0.09829327,0.0,1686441600000.0
0,0.08574497,-0.008761784,0.012162789,0.09769977,0.0,1686787200000.0
0,0.08574497,-0.008761784,0.012162789,0.097049646,0.0,1687132800000.0
0,0.08485301,-0.007904925,0.01103125,0.09442667,0.0907575,1687478300000.0
0,0.08485301,-0.007904925,0.01103125,0.09374271,0.0,1687824000000.0
0,0.084986456,-0.008064944,0.011061038,0.09331073,0.0940575,1688169600000.0
0,0.084986456,-0.008064944,0.011061038,0.09254385,0.0,1688515200000.0
0,0.084986456,-0.008064944,0.011061038,0.091741204,0.0,1688860800000.0
0,0.084986456,-0.008064944,0.011061038,0.09090659,0.0,1689206400000.0
0,0.08446635,-0.0073288055,0.012726122,0.08839638,0.0848725,1689552000000.0
0,0.08446635,-0.0073288055,0.012726122,0.0874142,0.0,1689897700000.0
0,0.08439246,-0.0072573586,0.01305068,0.08615491,0.08567,1690243200000.0
0,0.08439246,-0.0072573586,0.01305068,0.085131206,0.0,1690588800000.0
0,0.08370005,-0.006922884,0.016654203,0.08131066,0.0768975,1690934400000.0
0,0.08370005,-0.006922884,0.016654203,0.080087185,0.0,1691280000000.0
0,0.08333059,-0.0069106063,0.018723996,0.07722541,0.0749175,1691625600000.0
0,0.08333059,-0.0069106063,0.018723996,0.07593331,0.0,1691971200000.0
0,0.08433075,-0.0065740733,0.013109442,0.07947825,0.0855875,1692316900000.0
0,0.08433075,-0.0065740733,0.013109442,0.07853821,0.0,1692662400000.0
0,0.08421016,-0.006646926,0.013750983,0.07702995,0.07632,1693008000000.0
0,0.08421016,-0.006646926,0.013750983,0.07612011,0.0,1693353600000.0
0,0.08421016,-0.006646926,0.013750983,0.07524861,0.0,1693699100000.0
0,0.08421016,-0.006646926,0.013750983,0.07441941,0.0,1694044800000.0
0,0.08328691,-0.007641293,0.017591724,0.06945972,0.0654025,1694390400000.0
