point,INTP,COS0,SIN0,estimate,z,date
0,0.08793223,-0.009478184,0.016032416,0.10325447,0.0,1654560000000.0
0,0.08793223,-0.009478184,0.016032416,0.10165706,0.0,1655251100000.0
0,0.08793223,-0.009478184,0.016032416,0.100759014,0.0,1655596800000.0
0,0.08793223,-0.009478184,0.016032416,0.09980016,0.0,1655942400000.0
0,0.08812603,-0.009634277,0.016042389,0.09913536,0.099145,1656288000000.0
0,0.08812603,-0.009634277,0.016042389,0.09806892,0.0,1656633600000.0
0,0.08812603,-0.009634277,0.016042389,0.09695542,0.0,1656979200000.0
0,0.08812603,-0.009634277,0.016042389,0.095800124,0.0,1657324800000.0
0,0.086843766,-0.009171505,0.018895391,0.09234092,0.091445,1657670300000.0
0,0.086843766,-0.009171505,0.018895391,0.09093414,0.0,1658016000000.0
0,0.08988672,-0.00893673,0.013753313,0.093968876,0.0964225,1658361600000.0
0,0.08988672,-0.00893673,0.013753313,0.092866994,0.0,1658707200000.0
0,0.088367656,-0.009444609,0.015700007,0.08981824,0.0886675,1659052800000.0
0,0.088367656,-0.009444609,0.015700007,0.08855904,0.0,1659398400000.0
0,0.087005034,-0.010119011,0.017020268,0.08574753,0.08479,1659744000000.0
0,0.087005034,-0.010119011,0.017020268,0.084391825,0.0,1660089700000.0
0,0.0885823,-0.009169442,0.015881568,0.08468871,0.085725,1660435200000.0
0,0.0885823,-0.009169442,0.015881568,0.08346573,0.0,1660780800000.0
0,0.08776414,-0.009722423,0.01630846,0.08147562,0.0809675,1661126400000.0
0,0.08776414,-0.009722423,0.01630846,0.08025876,0.0,1661472000000.0
0,0.08776414,-0.009722423,0.01630846,0.07907735,0.0,1661817600000.0
0,0.08776414,-0.009722423,0.01630846,0.077937126,0.0,1662163200000.0
0,0.08827277,-0.009229139,0.016140271,0.077304326,0.07753,1662508900000.0
0,0.08827277,-0.009229139,0.016140271,0.07629809,0.0,1662854400000.0
0,0.08827277,-0.009229139,0.016140271,0.10416176,0.0,1685750400000.0
0,0.08374546,-0.009004988,0.011668304,0.096839175,0.0959825,1686096000000.0
0,0.08374546,-0.009004988,0.011668304,0.09634294,0.0,1686441600000.0
0,0.08374546,-0.009004988,0.011668304,0.09578706,0.0,1686787200000.0
0,0.08374546,-0.009004988,0.011668304,0.095174156,0.0,1687132800000.0
0,0.08330147,-0.0071453117,0.011704045,0.092233405,0.0907575,1687478300000.0
0,0.08330147,-0.0071453117,0.011704045,0.09149692,0.0,1687824000000.0
0,0.083891325,-0.008494249,0.011312722,0.092650734,0.0940575,1688169600000.0
0,0.083891325,-0.008494249,0.011312722,0.091866225,0.0,1688515200000.0
0,0.083891325,-0.008494249,0.011312722,0.09104397,0.0,1688860800000.0
0,0.083891325,-0.008494249,0.011312722,0.09018786,0.0,1689206400000.0
0,0.08302094,-0.006961591,0.012311253,0.08669859,0.0848725,1689552000000.0
0,0.08302094,-0.006961591,0.012311253,0.08575092,0.0,1689897700000.0
0,0.08333153,-0.0071111927,0.012168236,0.08529359,0.08567,1690243200000.0
0,0.08333153,-0.0071111927,0.012168236,0.084329374,0.0,1690588800000.0
0,0.08026797,-0.0068703243,0.012947004,0.07969709,0.0768975,1690934400000.0
0,0.08026797,-0.0068703243,0.012947004,0.07869147,0.0,1691280000000.0
0,0.07867251,-0.0070858235,0.01318374,0.07612152,0.0749175,1691625600000.0
0,0.07867251,-0.0070858235,0.01318374,0.075113475,0.0,1691971200000.0
0,0.08621136,-0.0050044493,0.012589568,0.0806413,0.0855875,1692316900000.0
0,0.08621136,-0.0050044493,0.012589568,0.079805374,0.0,1692662400000.0
0,0.08428436,-0.005737382,0.01263999,0.07746447,0.07632,1693008000000.0
0,0.08428436,-0.005737382,0.01263999,0.07664933,0.0,1693353600000.0
0,0.08428436,-0.005737382,0.01263999,0.07587038,0.0,1693699100000.0
0,0.08428436,-0.005737382,0.01263999,0.07513116,0.0,1694044800000.0
0,0.07634957,-0.010918736,0.0121088335,0.068803616,0.0654025,1694390400000.0
1,0.072439805,-0.029722618,-0.009684247,0.09537264,0.0,1654560000000.0
1,0.072439805,-0.029722618,-0.009684247,0.09807024,0.0,1655251100000.0
1,0.072439805,-0.029722618,-0.009684247,0.09924003,0.0,1655596800000.0
1,0.072439805,-0.029722618,-0.009684247,0.1002831,0.0,1655942400000.0
1,0.07497242,-0.031762388,-0.009553937,0.105770275,0.10589625,1656288000000.0
1,0.07497242,-0.031762388,-0.009553937,0.106544,0.0,1656633600000.0
1,0.07497242,-0.031762388,-0.009553937,0.1071683,0.0,1656979200000.0
1,0.07497242,-0.031762388,-0.009553937,0.10764023,0.0,1657324800000.0
1,0.068591475,-0.0294595,0.0046434365,0.09667334,0.092215,1657670300000.0
1,0.068591475,-0.0294595,0.0046434365,0.09591648,0.0,1658016000000.0
1,0.07565467,-0.028914548,-0.0072921766,0.10538472,0.11108,1658361600000.0
1,0.07565467,-0.028914548,-0.0072921766,0.10515532,0.0,1658707200000.0
1,0.07208979,-0.030106423,-0.0027237325,0.10025055,0.09755,1659052800000.0
1,0.07208979,-0.030106423,-0.0027237325,0.09942826,0.0,1659398400000.0
1,0.07558927,-0.028374435,-0.006114411,0.10246087,0.10492,1659744000000.0
1,0.07558927,-0.028374435,-0.006114411,0.10164282,0.0,1660089700000.0
1,0.07558927,-0.028374435,-0.006114411,0.10070145,0.0,1660435200000.0
1,0.07558927,-0.028374435,-0.006114411,0.099641174,0.0,1660780800000.0
1,0.07816317,-0.026131548,-0.008097627,0.10112611,0.10239,1661126400000.0
1,0.07816317,-0.026131548,-0.008097627,0.10004935,0.0,1661472000000.0
1,0.080302745,-0.024493586,-0.009028716,0.10093108,0.10217,1661817600000.0
1,0.080302745,-0.024493586,-0.009028716,0.09978234,0.0,1662163200000.0
1,0.07247853,-0.030271657,-0.0073062377,0.09150286,0.0869625,1662508900000.0
1,0.07247853,-0.030271657,-0.0073062377,0.08976274,0.0,1662854400000.0
1,0.07247853,-0.030271657,-0.0073062377,0.09542994,0.0,1685750400000.0
1,0.0778497,-0.030547176,-0.0021885703,0.10460729,0.10562125,1686096000000.0
1,0.0778497,-0.030547176,-0.0021885703,0.105568245,0.0,1686441600000.0
1,0.07609466,-0.028638666,-0.0028035492,0.102638036,0.1001625,1686787200000.0
1,0.07609466,-0.028638666,-0.0028035492,0.103339285,0.0,1687132800000.0
1,0.07727001,-0.0309661,-0.0033293387,0.10729969,0.1097875,1687478300000.0
1,0.07727001,-0.0309661,-0.0033293387,0.10779642,0.0,1687824000000.0
1,0.07582719,-0.028331865,-0.0022401437,0.104098156,0.101125,1688169600000.0
1,0.07582719,-0.028331865,-0.0022401437,0.1042313,0.0,1688515200000.0
1,0.07582719,-0.028331865,-0.0022401437,0.10423,0.0,1688860800000.0
