point,INTP,COS0,SIN0,estimate,z,date
0,0.08793223,-0.009478184,0.016032416,0.10325447,0.0,1654560000000.0
0,0.08793223,-0.009478184,0.016032416,0.10165706,0.0,1655251100000.0
0,0.08793223,-0.009478184,0.016032416,0.100759014,0.0,1655596800000.0
0,0.08793223,-0.009478184,0.016032416,0.09980016,0.0,1655942400000.0
0,0.08793651,-0.009689362,0.01610692,0.0990064,0.099145,1656288000000.0
0,0.08793651,-0.009689362,0.01610692,0.09793572,0.0,1656633600000.0
0,0.08793651,-0.009689362,0.01610692,0.096817724,0.0,1656979200000.0
0,0.08793651,-0.009689362,0.01610692,0.095657684,0.0,1657324800000.0
0,0.08792471,-0.00790544,0.018270195,0.09229417,0.091445,1657670300000.0
0,0.08792471,-0.00790544,0.018270195,0.09094848,0.0,1658016000000.0
0,0.087932184,-0.010973332,0.011362976,0.094707094,0.0964225,1658361600000.0
0,0.087932184,-0.010973332,0.011362976,0.09370993,0.0,1658707200000.0
0,0.0879308,-0.009831774,0.016103229,0.08954806,0.0886675,1659052800000.0
0,0.0879308,-0.009831774,0.016103229,0.08825177,0.0,1659398400000.0
0,0.08793031,-0.009509441,0.01872444,0.08520752,0.08479,1659744000000.0
0,0.08793031,-0.009509441,0.01872444,0.08378224,0.0,1660089700000.0
0,0.08793116,-0.009684893,0.014797244,0.08514826,0.085725,1660435200000.0
0,0.08793116,-0.009684893,0.014797244,0.083954,0.0,1660780800000.0
0,0.08793063,-0.009713319,0.016811896,0.08124982,0.0809675,1661126400000.0
0,0.08793063,-0.009713319,0.016811896,0.08001217,0.0,1661472000000.0
0,0.08793063,-0.009713319,0.016811896,0.07881195,0.0,1661817600000.0
0,0.08793063,-0.009713319,0.016811896,0.07765494,0.0,1662163200000.0
0,0.0879312,-0.009495023,0.015767412,0.07741166,0.07753,1662508900000.0
0,0.0879312,-0.009495023,0.015767412,0.076398134,0.0,1662854400000.0
0,0.0879312,-0.009495023,0.015767412,0.10387235,0.0,1685750400000.0
0,0.08792366,-0.003977698,0.011833873,0.09653148,0.0959825,1686096000000.0
0,0.08792366,-0.003977698,0.011833873,0.09588942,0.0,1686441600000.0
0,0.08792366,-0.003977698,0.011833873,0.09520963,0.0,1686787200000.0
0,0.08792366,-0.003977698,0.011833873,0.09449531,0.0,1687132800000.0
0,0.08792796,-0.0017555542,0.011779386,0.091552176,0.0907575,1687478300000.0
0,0.08792796,-0.0017555542,0.011779386,0.090763636,0.0,1687824000000.0
0,0.087923616,-0.004699058,0.010148618,0.09286136,0.0940575,1688169600000.0
0,0.087923616,-0.004699058,0.010148618,0.09215974,0.0,1688515200000.0
0,0.087923616,-0.004699058,0.010148618,0.09143807,0.0,1688860800000.0
0,0.087923616,-0.004699058,0.010148618,0.09069977,0.0,1689206400000.0
0,0.08792696,-0.0022531343,0.016814804,0.08592326,0.0848725,1689552000000.0
0,0.08792696,-0.0022531343,0.016814804,0.08476973,0.0,1689897700000.0
0,0.08792683,-0.0029322424,0.014297264,0.085214615,0.08567,1690243200000.0
0,0.08792683,-0.0029322424,0.014297264,0.084235035,0.0,1690588800000.0
0,0.087925635,-0.0016826089,0.022250038,0.078192964,0.0768975,1690934400000.0
0,0.087925635,-0.0016826089,0.022250038,0.07683545,0.0,1691280000000.0
0,0.08792546,-0.0016286119,0.022994177,0.07502889,0.0749175,1691625600000.0
0,0.08792546,-0.0016286119,0.022994177,0.07374566,0.0,1691971200000.0
0,0.0879299,-0.0017646002,0.007939512,0.08344984,0.0855875,1692316900000.0
0,0.0879299,-0.0017646002,0.007939512,0.082993716,0.0,1692662400000.0
0,0.08792762,-0.0020539481,0.014724053,0.07725173,0.07632,1693008000000.0
0,0.08792762,-0.0020539481,0.014724053,0.076565646,0.0,1693353600000.0
0,0.08792762,-0.0020539481,0.014724053,0.075933374,0.0,1693699100000.0
0,0.08792762,-0.0020539481,0.014724053,0.075357795,0.0,1694044800000.0
0,0.08792123,-0.0044109337,0.024479002,0.06651282,0.0654025,1694390400000.0
1,0.16603802,-0.023267314,-0.01617258,0.18039134,0.0,1654560000000.0
1,0.16603802,-0.023267314,-0.01617258,0.18360737,0.0,1655251100000.0
1,0.16603802,-0.023267314,-0.01617258,0.18509424,0.0,1655596800000.0
1,0.16603802,-0.023267314,-0.01617258,0.18649109,0.0,1655942400000.0
1,0.16589876,-0.016399816,-0.018595424,0.18059763,0.17609,1656288000000.0
1,0.16597809,-0.029792868,-0.019175045,0.19539435,0.2018575,1656633600000.0
1,0.16597809,-0.029792868,-0.019175045,0.19668253,0.0,1656979200000.0
1,0.16597809,-0.029792868,-0.019175045,0.19782536,0.0,1657324800000.0
1,0.16594583,-0.017584963,0.0013018288,0.18298183,0.1773,1657670300000.0
1,0.16596206,-0.032651484,-0.02705186,0.2043973,0.212555,1658016000000.0
1,0.16595735,-0.025446596,-0.009015458,0.19295043,0.18852,1658361600000.0
1,0.16596222,-0.033136915,-0.0352676,0.21008912,0.2156625,1658707200000.0
1,0.16595523,-0.024389599,0.0055718496,0.18529929,0.17752,1659052800000.0
1,0.16595857,-0.027401388,-0.013922183,0.19663672,0.20007,1659398400000.0
1,0.16595395,-0.024564758,0.012513818,0.17916386,0.17477,1659744000000.0
1,0.16595581,-0.025276039,0.0021175425,0.18447453,0.1861275,1660089700000.0
1,0.16595714,-0.025528677,-0.005063526,0.18825644,0.18935876,1660435200000.0
1,0.16596311,-0.02571182,-0.036487486,0.21009475,0.2147825,1660780800000.0
1,0.16595688,-0.026372232,-0.004763946,0.18651496,0.1818925,1661126400000.0
1,0.16596149,-0.025337987,-0.02740754,0.2030213,0.2062575,1661472000000.0
1,0.16596149,-0.025337987,-0.02740754,0.20262796,0.0,1661817600000.0
1,0.16595806,-0.027442178,-0.017733123,0.19450673,0.1933325,1662163200000.0
1,0.16595595,-0.02844192,-0.009150543,0.18591726,0.18473876,1662508900000.0
1,0.16595595,-0.02844192,-0.009150543,0.18434152,0.0,1662854400000.0
1,0.16595595,-0.02844192,-0.009150543,0.1864135,0.0,1685750400000.0
1,0.16596048,-0.03695672,-0.004246171,0.1976567,0.19809,1686096000000.0
1,0.16596048,-0.03695672,-0.004246171,0.19892046,0.0,1686441600000.0
1,0.16596048,-0.03695672,-0.004246171,0.20002832,0.0,1686787200000.0
1,0.16596048,-0.03695672,-0.004246171,0.20097496,0.0,1687132800000.0
1,0.16597743,-0.02936333,-0.0041512377,0.19429317,0.1916825,1687478300000.0
1,0.16597743,-0.02936333,-0.0041512377,0.19483204,0.0,1687824000000.0
1,0.16596484,-0.037047096,-0.00851283,0.20280026,0.2059,1688169600000.0
1,0.16596484,-0.037047096,-0.00851283,0.20335847,0.0,1688515200000.0
